ID;CLASIFICACIÓN 1 ;CLASIFICACIÓN 2 ;DESCRIPCIÓN ;ALTAL INV;NS;ESTADO PARA DISPOSICIÓN;UBICACIÓN
289;ELEMENTOS MAQUINAS ELECTRICAS;TORQUIMETRO;Torquimetro de ;;;;TALLER PAÑOL
290;ELEMENTOS DE ROBOTICA;KIT DE ENTRENAMIENTO;ARDUINO ROBOST ETC..;;;;TALLER PAÑOL
291;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;LED DE COLOR ROJO;;;;TALLER PAÑOL
292;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;LED DE COLOR VERDE;;;;TALLER PAÑOL
293;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;LED DE COLOR AMARILLLO;;;;TALLER PAÑOL
294;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;LED DE COLOR AZUL;;;;TALLER PAÑOL
295;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;DISPLAY 7 SEGMENTOS ANODO COMÚN DE 10X20;;;DISPONIBLE;TALLER PAÑOL
296;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;DISPLAY 7 SEGMENTOS ANODO COMÚN DE 10X20;;;DISPONIBLE;TALLER PAÑOL
297;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;DISPLAY 7 SEGMENTOS ANODO COMÚN DE 10X20;;;DISPONIBLE;TALLER PAÑOL
298;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;DISPLAY 7 SEGMENTOS ANODO COMÚN DE 10X20;;;DISPONIBLE;TALLER PAÑOL
299;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;DISPLAY 7 SEGMENTOS ANODO COMÚN DE 10X20;;;DISPONIBLE;TALLER PAÑOL
300;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;DISPLAY 7 SEGMENTOS ANODO COMÚN DE 10X20;;;DISPONIBLE;TALLER PAÑOL
301;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;DISPLAY 7 SEGMENTOS ANODO COMÚN DE 10X20;;;DISPONIBLE;TALLER PAÑOL
302;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;DISPLAY 7 SEGMENTOS ANODO COMÚN DE 10X20;;;DISPONIBLE;TALLER PAÑOL
303;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;DISPLAY 7 SEGMENTOS ANODO COMÚN DE 10X20;;;DISPONIBLE;TALLER PAÑOL
304;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;DISPLAY 7 SEGMENTOS ANODO COMÚN DE 10X20;;;DISPONIBLE;TALLER PAÑOL
305;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;DISPLAY 7 SEGMENTOS ANODO COMÚN DE 10X20;;;DISPONIBLE;TALLER PAÑOL
306;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;DISPLAY 7 SEGMENTOS ANODO COMÚN DE 10X20;;;DISPONIBLE;TALLER PAÑOL
307;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;DISPLAY 7 SEGMENTOS ANODO COMÚN DE 10X20;;;DISPONIBLE;TALLER PAÑOL
308;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;DISPLAY 7 SEGMENTOS ANODO COMÚN DE 12X20;;;DISPONIBLE;TALLER PAÑOL
309;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;DISPLAY 7 SEGMENTOS ANODO COMÚN DE 12X20;;;DISPONIBLE;TALLER PAÑOL
310;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;DISPLAY 7 SEGMENTOS ANODO COMÚN DE 12X20;;;DISPONIBLE;TALLER PAÑOL
311;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;DISPLAY 7 SEGMENTOS ANODO COMÚN DE 12X20;;;DISPONIBLE;TALLER PAÑOL
312;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;DISPLAY 7 SEGMENTOS ANODO COMÚN DE 12X20;;;DISPONIBLE;TALLER PAÑOL
313;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;DISPLAY 7 SEGMENTOS ANODO COMÚN DE 12X20;;;DISPONIBLE;TALLER PAÑOL
314;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;DISPLAY 7 SEGMENTOS ANODO COMÚN DE 20X25;;;DISPONIBLE;TALLER PAÑOL
315;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;DISPLAY 7 SEGMENTOS ANODO COMÚN DE 20X25;;;DISPONIBLE;TALLER PAÑOL
316;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;DISPLAY 7 SEGMENTOS ANODO COMÚN DE 25X35;;;DISPONIBLE;TALLER PAÑOL
317;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;DISPLAY 7 SEGMENTOS ANODO COMÚN DE 25X35;;;DISPONIBLE;TALLER PAÑOL
318;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;DISPLAY 7 SEGMENTOS ANODO COMÚN DE 25X35;;;DISPONIBLE;TALLER PAÑOL
319;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;DISPLAY 7 SEGMENTOS ANODO COMÚN DE 25X35;;;DISPONIBLE;TALLER PAÑOL
320;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;DISPLAY 7 SEGMENTOS ANODO COMÚN DE 25X35;;;DISPONIBLE;TALLER PAÑOL
321;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;DISPLAY 7 SEGMENTOS ANODO COMÚN DE 25X35;;;DISPONIBLE;TALLER PAÑOL
322;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;DISPLAY 7 SEGMENTOS ANODO COMÚN DE 25X35;;;DISPONIBLE;TALLER PAÑOL
323;ELEMENTOS DE ELECTRONICOS;ELEMENTOS DE  ILUMINACION LED;DISPLAY 7 SEGMENTOS ANODO COMÚN DE 25X35;;;DISPONIBLE;TALLER PAÑOL
324;INSTRUMENTO;ANALIZADOR LOGICO;Analizador lógico Tektronix 3001 GPX pasa las pruebas automáticas;5032;B031058;DISPONIBLE;TALLER PAÑOL
325;ELEMENTOS ELECTRCIOS;CONTROLADOR DE MOTOR CC;Siemens Simoreg Dc Master 6Ra70 Accionamiento de CC, monofásico ( Z14-2-S11-403);;130050000;DISPONIBLE;TALLER PAÑOL
326;INSTRUMENTO;MEDIDOR DE ASILACIÓN;Juego de prueba dieléctrica de CC Megger 220123-47 120Kv;7004;22306;DISPONIBLE;TALLER PAÑOL
